idx,loss_test_epoch,f1_epoch,tp_epoch,fp_epoch,fn_epoch,splits_epoch,merges_epoch,inaccurate_masks_epoch,iou_epoch,iou_big_epoch,iou_small_epoch
val1,0.0430730953812599,0.8635846972465515,111.3000030517578,11.699999809265137,12.600000381469728,0.2000000029802322,0.8999999761581421,12.199999809265137,0.6850275993347168,0.6948143243789673,0.6752409934997559
val10,0.1708410233259201,0.7578865885734558,94.3000030517578,16.899999618530273,11.300000190734863,0.0,1.2999999523162842,29.899999618530277,0.6687324047088623,0.7250124216079712,0.6124523282051086
val11,0.4334897100925445,0.6763477325439453,78.5,15.5,11.5,0.0,1.5,45.09999847412109,0.6390618085861206,0.7116812467575073,0.5664421916007996
val12,0.8816549181938171,0.59093177318573,66.30000305175781,20.899999618530277,11.699999809265137,0.2000000029802322,2.5,54.900001525878906,0.6244519948959351,0.7095497846603394,0.5393542051315308
val13,1.3865320682525637,0.471815288066864,50.29999923706055,23.200000762939453,10.0,0.1000000014901161,3.200000047683716,71.30000305175781,0.6130584478378296,0.7210193872451782,0.5050975680351257
val14,1.434975028038025,0.4612075686454773,50.400001525878906,29.299999237060547,8.899999618530273,0.1000000014901161,4.099999904632568,70.5,0.6135925054550171,0.7228609919548035,0.5043240189552307
val15,2.5081887245178223,0.4085808396339416,39.79999923706055,20.899999618530277,9.300000190734863,0.0,5.099999904632568,78.80000305175781,0.5816088318824768,0.6808470487594604,0.4823707938194275
val16,0.039250336587429,0.8533775210380554,109.5,10.899999618530272,13.199999809265137,0.1000000014901161,1.0,13.300000190734863,0.6792659759521484,0.6959999799728394,0.6625320315361023
val17,0.0441150590777397,0.8407617807388306,106.6999969482422,12.0,11.399999618530272,0.2000000029802322,1.2999999523162842,17.200000762939453,0.6769241690635681,0.698167622089386,0.6556806564331055
val18,0.0778187066316604,0.8140047788619995,104.3000030517578,15.600000381469728,12.300000190734863,0.0,1.0,19.5,0.6896698474884033,0.7320588231086731,0.6472808718681335
val19,0.1098736748099327,0.8071253895759583,102.4000015258789,14.699999809265137,13.300000190734863,0.1000000014901161,1.0,20.299999237060547,0.6789692044258118,0.7233675718307495,0.6345707178115845
val2,0.0613082647323608,0.8348649740219116,108.3000030517578,14.899999618530272,11.600000381469728,0.0,1.0,16.200000762939453,0.7029780745506287,0.7451547980308533,0.6608014702796936
val20,0.1435877680778503,0.8193473815917969,104.4000015258789,14.100000381469728,11.899999618530272,0.0,1.0,19.799999237060547,0.6884630918502808,0.7312049865722656,0.6457210779190063
val21,0.1391829550266266,0.8203098177909851,102.8000030517578,11.600000381469728,12.800000190734863,0.0,1.100000023841858,20.299999237060547,0.678451657295227,0.7236368060112,0.6332663297653198
val22,0.1850325018167495,0.7875813841819763,98.3000030517578,15.100000381469728,11.600000381469728,0.0,1.100000023841858,26.0,0.6700019836425781,0.7137702703475952,0.6262337565422058
val23,0.1811843365430832,0.7640787959098816,93.5999984741211,14.800000190734863,11.600000381469728,0.1000000014901161,1.2999999523162842,30.200000762939453,0.6625831723213196,0.718926191329956,0.6062401533126831
val24,0.2033232897520065,0.7501844763755798,91.1999969482422,14.699999809265137,12.5,0.0,1.100000023841858,32.20000076293945,0.6577764749526978,0.716736912727356,0.5988162755966187
val25,0.1709384620189666,0.7516114711761475,92.6999969482422,17.600000381469727,10.199999809265137,0.0,1.7000000476837158,31.799999237060547,0.68578040599823,0.7634083032608032,0.6081525087356567
val26,0.3415793478488922,0.6452731490135193,76.4000015258789,23.700000762939453,11.0,0.3000000119209289,1.899999976158142,46.59999847412109,0.6376863718032837,0.7045361399650574,0.5708366632461548
val27,0.8250536918640137,0.6250677108764648,70.5999984741211,18.700000762939453,10.600000381469728,0.2000000029802322,1.7999999523162842,53.09999847412109,0.6342548131942749,0.7143974304199219,0.5541120767593384
val28,1.3130501508712769,0.4756802022457123,51.0,27.799999237060547,9.800000190734863,0.1000000014901161,3.200000047683716,70.80000305175781,0.6198835968971252,0.7293532490730286,0.5104139447212219
val29,2.060131549835205,0.4974659085273742,54.5,28.0,8.699999809265137,0.1000000014901161,2.400000095367432,70.0,0.6070117354393005,0.6878916621208191,0.5261317491531372
val3,0.054954744875431,0.802046000957489,100.4000015258789,13.399999618530272,11.300000190734863,0.0,1.399999976158142,23.600000381469727,0.6807898283004761,0.7319132089614868,0.6296663284301758
val30,1.2241581678390503,0.3621671795845032,38.09999847412109,36.0,7.800000190734863,0.0,5.199999809265137,81.69999694824219,0.6114752888679504,0.7483860850334167,0.4745643138885498
val31,0.024272684007883,0.8654783368110657,111.5999984741211,10.5,13.399999618530272,0.1000000014901161,1.100000023841858,10.800000190734863,0.6939555406570435,0.7028551697731018,0.6850559711456299
val32,0.0499908290803432,0.8503910303115845,109.0999984741211,11.600000381469728,11.699999809265137,0.0,1.100000023841858,15.100000381469728,0.6908662915229797,0.7130149006843567,0.6687177419662476
val33,0.1079522222280502,0.8193386197090149,103.6999969482422,14.300000190734863,14.0,0.1000000014901161,1.100000023841858,18.100000381469727,0.6689479351043701,0.7028469443321228,0.6350489854812622
val34,0.131262257695198,0.7895347476005554,99.1999969482422,16.700000762939453,12.300000190734863,0.0,1.100000023841858,24.399999618530277,0.6689537763595581,0.7061367630958557,0.6317707300186157
val35,0.119544468820095,0.8073903322219849,104.1999969482422,17.100000381469727,11.0,0.0,1.0,20.899999618530277,0.6916913390159607,0.7383970618247986,0.6449857354164124
val36,0.1431538164615631,0.7806233167648315,98.0999984741211,16.600000381469727,12.5,0.1000000014901161,1.2999999523162842,24.799999237060547,0.6775416731834412,0.7342455983161926,0.6208377480506897
val37,0.140192374587059,0.6987568140029907,85.69999694824219,22.5,9.100000381469728,0.1000000014901161,1.7999999523162842,39.59999847412109,0.653480052947998,0.7068060636520386,0.600153923034668
val38,0.1300627887248993,0.7420267462730408,92.9000015258789,20.299999237060547,10.300000190734863,0.1000000014901161,1.5,31.799999237060547,0.6787039041519165,0.7521802186965942,0.6052274703979492
val39,0.2404692620038986,0.7843104600906372,96.1999969482422,13.0,12.199999809265137,0.2000000029802322,1.2000000476837158,27.100000381469727,0.6646671891212463,0.7189901471138,0.6103441715240479
val4,0.0993325859308242,0.795167088508606,101.4000015258789,16.200000762939453,12.399999618530272,0.0,1.100000023841858,22.100000381469727,0.6723737120628357,0.7133522033691406,0.6313953399658203
