idx,loss_test_epoch,f1_epoch,tp_epoch,fp_epoch,fn_epoch,splits_epoch,merges_epoch,inaccurate_masks_epoch,iou_epoch,iou_big_epoch,iou_small_epoch
val12,0.0141470152884721,0.9333879351615906,95.6999969482422,7.800000190734863,0.8999999761581421,0.1000000014901161,0.5,4.800000190734863,0.7854726910591125,0.0,0.7854726910591125
val13,0.00834896042943,0.9208672642707824,93.8000030517578,7.900000095367432,0.800000011920929,0.1000000014901161,0.2000000029802322,7.300000190734863,0.7653979063034058,0.0,0.7653979063034058
val14,0.0094277141615748,0.9272387623786926,95.0,8.100000381469727,0.6000000238418579,0.1000000014901161,0.4000000059604645,6.0,0.784168541431427,0.0,0.784168541431427
val15,0.0134795252233743,0.9273555874824524,95.5999984741211,9.0,0.5,0.2000000029802322,0.4000000059604645,5.400000095367432,0.7879372835159302,0.0,0.7879372835159302
val16,0.0083722481504082,0.9216514825820924,94.4000015258789,8.399999618530273,0.3000000119209289,0.1000000014901161,0.3000000119209289,7.099999904632568,0.7721223831176758,0.0,0.7721223831176758
val17,0.0110418600961565,0.926748275756836,95.1999969482422,8.399999618530273,0.5,0.2000000029802322,0.3000000119209289,6.0,0.7849122881889343,0.0,0.7849122881889343
val18,0.0144970659166574,0.9351602792739868,97.0,8.300000190734863,0.5,0.0,0.3000000119209289,4.300000190734863,0.7893170118331909,0.0,0.7893170118331909
val19,0.0077914493158459,0.923896312713623,95.5,8.600000381469727,0.4000000059604645,0.1000000014901161,0.0,6.5,0.7780599594116211,0.0,0.7780599594116211
val2,0.0109048392623662,0.92794930934906,96.5,9.100000381469728,0.699999988079071,0.1000000014901161,0.2000000029802322,4.800000190734863,0.7829993963241577,0.0,0.7829993963241577
val20,0.0109510589390993,0.9299101829528807,96.1999969482422,9.100000381469728,0.3000000119209289,0.1000000014901161,0.5,4.900000095367432,0.7843736410140991,0.0,0.7843736410140991
val21,0.014456364326179,0.9272486567497252,96.5999984741211,9.800000190734863,0.4000000059604645,0.1000000014901161,0.3000000119209289,4.800000190734863,0.7905474901199341,0.0,0.7905474901199341
val22,0.0079384939745068,0.9218672513961792,94.8000030517578,8.699999809265137,0.5,0.2000000029802322,0.2000000029802322,6.599999904632568,0.7728659510612488,0.0,0.7728659510612488
val23,0.0115370731800794,0.9197832942008972,94.8000030517578,9.5,0.699999988079071,0.0,0.4000000059604645,6.099999904632568,0.7767945528030396,0.0,0.7767945528030396
val24,0.0137878581881523,0.9270989298820496,95.5,8.600000381469727,0.699999988079071,0.1000000014901161,0.4000000059604645,5.400000095367432,0.779800534248352,0.0,0.779800534248352
val25,0.0063887638971209,0.9230191111564636,94.1999969482422,8.0,0.699999988079071,0.1000000014901161,0.2000000029802322,7.099999904632568,0.7746857404708862,0.0,0.7746857404708862
val26,0.0107969772070646,0.9302252531051636,95.6999969482422,8.399999618530273,0.4000000059604645,0.1000000014901161,0.5,5.300000190734863,0.7858254313468933,0.0,0.7858254313468933
val27,0.0154489623382687,0.9241201281547546,95.9000015258789,9.899999618530272,0.3000000119209289,0.1000000014901161,0.4000000059604645,5.300000190734863,0.7871429920196533,0.0,0.7871429920196533
val28,0.0055594248697161,0.9281009435653688,95.5,8.5,0.6000000238418579,0.0,0.3000000119209289,5.699999809265137,0.7846577763557434,0.0,0.7846577763557434
val29,0.0115098822861909,0.9268189668655396,95.5999984741211,8.800000190734863,0.5,0.1000000014901161,0.4000000059604645,5.5,0.7812699675559998,0.0,0.7812699675559998
val3,0.0115893855690956,0.9280833005905152,96.1999969482422,9.5,0.3000000119209289,0.2000000029802322,0.4000000059604645,5.0,0.7955347299575806,0.0,0.7955347299575806
val30,0.0124818552285432,0.92862206697464,96.3000030517578,8.699999809265137,0.3000000119209289,0.0,0.2000000029802322,5.5,0.7914547324180603,0.0,0.7914547324180603
val31,0.0071825496852397,0.9273517727851868,95.3000030517578,8.100000381469727,0.4000000059604645,0.1000000014901161,0.2000000029802322,6.300000190734863,0.775935173034668,0.0,0.775935173034668
val32,0.0118061695247888,0.9290663599967957,96.3000030517578,9.0,0.3000000119209289,0.0,0.4000000059604645,5.099999904632568,0.787968635559082,0.0,0.787968635559082
val33,0.0144967716187238,0.9278847575187684,96.0,8.800000190734863,0.5,0.1000000014901161,0.3000000119209289,5.300000190734863,0.7860850095748901,0.0,0.7860850095748901
val34,0.007419635541737,0.919434666633606,93.3000030517578,7.800000190734863,0.8999999761581421,0.1000000014901161,0.3000000119209289,7.599999904632568,0.7630497813224792,0.0,0.7630497813224792
val35,0.0096105821430683,0.9271539449691772,95.9000015258789,8.899999618530273,0.6000000238418579,0.1000000014901161,0.3000000119209289,5.300000190734863,0.7869061231613159,0.0,0.7869061231613159
val36,0.0151775777339935,0.9290331602096558,95.6999969482422,8.5,0.3000000119209289,0.1000000014901161,0.4000000059604645,5.599999904632568,0.7853683233261108,0.0,0.7853683233261108
val4,0.0071026645600795,0.929400622844696,95.4000015258789,7.800000190734863,0.4000000059604645,0.1000000014901161,0.2000000029802322,6.199999809265137,0.775509774684906,0.0,0.775509774684906
val5,0.0079162754118442,0.928630828857422,96.0999984741211,9.100000381469728,0.5,0.0,0.4000000059604645,5.0,0.7911770939826965,0.0,0.7911770939826965
val6,0.014763206243515,0.9208645820617676,95.0999984741211,9.800000190734863,0.5,0.0,0.5,5.800000190734863,0.7840569019317627,0.0,0.7840569019317627
val7,0.0066593647934496,0.9225010871887208,94.0999984741211,8.199999809265137,0.5,0.1000000014901161,0.4000000059604645,7.0,0.775110125541687,0.0,0.775110125541687
val8,0.0082739572972059,0.9270334243774414,95.1999969482422,8.600000381469727,0.4000000059604645,0.3000000119209289,0.4000000059604645,5.699999809265137,0.7889758944511414,0.0,0.7889758944511414
val9,0.0149282859638333,0.9293363690376282,96.0,8.800000190734863,0.6000000238418579,0.1000000014901161,0.4000000059604645,5.0,0.784733235836029,0.0,0.784733235836029
