threshold,f1,tp,fp,fn,merges,splits,val
0.5,0.8636363636167356,19,3,3,0,0,47
0.55,0.8636363636167356,19,3,3,0,0,47
0.6,0.8181818181632232,18,4,4,0,0,47
0.65,0.6363636363491736,14,8,8,0,0,47
0.7,0.4999999999886364,11,11,11,0,0,47
0.75,0.4090909090816116,9,13,13,0,0,47
0.8,0.1363636363605372,3,19,19,0,0,47
0.85,0.0454545454535124,1,21,21,0,0,47
0.9,0.0,0,22,22,0,0,47
0.5,0.9111111111009876,41,3,5,0,0,47
0.55,0.9111111111009876,41,3,5,0,0,47
0.6,0.8888888888790123,40,4,6,0,0,47
0.65,0.8222222222130864,37,7,9,0,0,47
0.7,0.7777777777691358,35,9,11,0,0,47
0.75,0.6666666666592592,30,14,16,0,0,47
0.8,0.4888888888834568,22,22,24,0,0,47
0.85,0.1999999999977777,9,35,37,0,0,47
0.9,0.0444444444439506,2,42,44,0,0,47
0.5,0.8571428571292518,27,6,3,0,0,47
0.55,0.7619047618926682,24,9,6,0,0,47
0.6,0.7619047618926682,24,9,6,0,0,47
0.65,0.6984126984016126,22,11,8,0,0,47
0.7,0.5714285714195012,18,15,12,0,0,47
0.75,0.4444444444373898,14,19,16,0,0,47
0.8,0.3174603174552784,10,23,20,0,0,47
0.85,0.1587301587276392,5,28,25,0,0,47
0.9,0.0317460317455278,1,32,29,0,0,47
0.5,0.9599999999808,24,1,1,0,0,47
0.55,0.9199999999816,23,2,2,0,0,47
0.6,0.8799999999824001,22,3,3,0,0,47
0.65,0.8799999999824001,22,3,3,0,0,47
0.7,0.7199999999855999,18,7,7,0,0,47
0.75,0.5599999999888,14,11,11,0,0,47
0.8,0.399999999992,10,15,15,0,0,47
0.85,0.1599999999968,4,21,21,0,0,47
0.9,0.1199999999976,3,22,22,0,0,47
0.5,0.8985507246246587,31,7,0,0,0,47
0.55,0.869565217378702,30,8,1,0,0,47
0.6,0.8405797101327451,29,9,2,0,0,47
0.65,0.8115942028867884,28,10,3,0,0,47
0.7,0.7246376811489182,25,13,6,0,0,47
0.75,0.4927536231812644,17,21,14,0,0,47
0.8,0.2608695652136106,9,29,22,0,0,47
0.85,0.0869565217378701,3,35,28,0,0,47
0.9,0.0,0,38,31,0,0,47
0.5,0.9148936170115436,43,6,2,1,0,47
0.55,0.8510638297781802,40,9,5,1,0,47
0.6,0.8297872340337257,39,10,6,1,0,47
0.65,0.7872340425448167,37,12,8,1,0,47
0.7,0.6595744680780896,31,18,14,1,0,47
0.75,0.5531914893558171,26,23,19,1,0,47
