"Identification","TrackNumber","MeanNoBgCorrectedCh00","MeanNoBgCorrectedCh01","AreaMorphologyCh01","TimePoint","Time","Position","Cell","Cytokine","CellType","Experiment","relSignal","base.sd","trace_1_3.sd","trace_2_3.sd","trace_3_3.sd","trace.sd","expression_t0","AUC","resp.score","sustra.score","n.peaks","ACFx","ACFy","ACFy_nobs","ACF.AUC","ACF.diff.AUC","nACpeaks","ACpeak.hight_1","ACpeak.steepness_1","acf.freq.peak_1","ACpeak.hight_2","ACpeak.steepness_2","acf.freq.peak_2","ACpeak.hight_3","ACpeak.steepness_3","acf.freq.peak_3","log_AUC","log_base.sd","log_trace_1_3.sd","log_trace_2_3.sd","log_trace_3_3.sd","log_trace.sd","log_expression_t0","log_resp.score","log_sustra.score","log_n.peaks","log_ACF.AUC","log_ACF.diff.AUC","log_nACpeaks","log_ACpeak.hight_1","log_ACpeak.hight_2","log_ACpeak.hight_3","log_ACpeak.steepness_1","log_ACpeak.steepness_2","log_ACpeak.steepness_3","log_acf.freq.peak_1","log_acf.freq.peak_2","log_acf.freq.peak_3","ResponseType","fNON","fSUS","fTRA","fOSC","fNON_rep","fSUS_rep","fTRA_rep","fOSC_rep"
"180823TK20_p0001-002TK",1,0.173032,0.433725,49,1,0,1,2,"blank","GMP-","180823TK20",0.656726158008889,0.217191430484541,0.179223737766279,0.124649482694499,0.088879237742178,0.144905704531608,0.2308285,1.80586681871132,1.80813816164717,0.537202323017411,2,1,1,1,0.0218919668206655,-0.0321009871208887,1,0.0767964834569722,0.0109709262081389,30,0,0,31.1824104234528,0,0,36.6363636363636,1.48844653264112,0.283556081849655,0.237837471279847,0.169475429554448,0.122843960692795,0.195228781547856,0.299629754969202,1.48961391862669,0.620307061713175,1.58496250072116,0.0312426843671235,-0.0455841398410961,1,0.106745603594048,0,0,0.015741508399721,0,0,4.95419631038687,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
"180823TK20_p0001-003TK",1,0.0544013,0.613934,36,1,0,1,3,"blank","GMP-","180823TK20",1.128509937631,0.217928791020948,0.355052525373732,0.468531026477097,0.329708153925664,0.844901299223781,0.04757362,15.7288609723065,2.68615077355073,4.99671277766222,3,1,1,1,0.140981614031687,-0.025184431616382,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,4.06426731399066,0.28442978526055,0.438348775289484,0.554373746610525,0.411109635886987,0.883543635294165,0.0670516353105335,1.88211508231027,2.58417187422678,2,0.190275543985032,-0.0358834752360993,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
"180823TK20_p0001-004TK",1,0.173856,0.406723,48,1,0,1,4,"blank","GMP-","180823TK20",0.823960914788017,0.170605923067692,0.160533665387616,0.187109337796887,0.155352093598981,0.204454975026883,0.1623987,-0.677425844079522,1.57230493145601,-1.14940445208526,1,1,1,1,0.0886171001946455,-0.0254624633022381,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,-0.74624898893307,0.227255483591743,0.214788373766669,0.247452819421956,0.208332580022576,0.268380463713756,0.217104994607306,1.36306167572311,-1.10393697932956,1,0.122496603468726,-0.0362746834327386,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
"180823TK20_p0001-005TK",1,0.60289,0.520227,28,1,0,1,5,"blank","GMP-","180823TK20",1.01580132519146,0.0986096504928134,0.3070595337297,0.123111412316061,0.217559782645755,0.26287582754653,0.4688461,-5.93283756366534,-3.22293735263146,1.12962844874225,2,1,1,1,0.023431310286586,-0.0283433390788694,1,0.170832238650436,0.0244046055214909,25,0,0,31.1824104234528,0,0,36.6363636363636,-2.79344595858817,0.135678870059316,0.386324854263066,0.167501049753857,0.283992610918804,0.336712792894525,0.554683243819211,-2.07824684488529,1.09060174880103,1.58496250072116,0.0334142761430311,-0.0403220260952595,1,0.227534375748927,0,0,0.0347856441355626,0,0,4.70043971814109,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
"180823TK20_p0001-006TK",1,0.171227,0.382079,71,1,0,1,6,"blank","GMP-","180823TK20",1.0092275872669,0.179766447226862,0.139827974352685,0.274257910270278,0.25292115051042,0.272076248311346,0.142338,1.65864913994518,0.950759182958614,-0.94822584056635,1,1,1,1,0.0353709810922129,-0.0358044231101289,1,0.024757897058928,0.00495157941178561,27,0,0,31.1824104234528,0,0,36.6363636363636,1.41069339830876,0.238501284352255,0.188816105727425,0.349657309156399,0.325295625077182,0.347185148423993,0.191989584829925,0.964035691327279,-0.962160925972471,1,0.0501477886765122,-0.0507516242161003,1,0.0352831078100704,0,0,0.00712599113020238,0,0,4.8073549220576,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
"180823TK20_p0001-007TK",1,0.264325,0.226866,53,1,0,1,7,"blank","GMP-","180823TK20",1.84998807275819,0.390528241667239,0.24273760364864,0.090066455796401,0.13416239509719,0.201432849130992,0.13695189,-1.80334369878467,-1.23015157233364,1.61818382160629,3,1,1,1,0.0839242049492302,-0.0254518229287102,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,-1.48714863417933,0.475633046158539,0.313521712418458,0.124416091447457,0.181627227429534,0.264756015148567,0.185171208032365,-1.15714176629933,1.38856639186293,2,0.116263877570951,-0.0362597137051149,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
"180823TK20_p0001-009TK",1,0.201203,0.243556,59.5,1,0,1,9,"blank","GMP-","180823TK20",0.97412878321513,0.0971399542051035,0.110391472603671,0.0938721328866045,0.0921864028013534,0.128652612366974,0.1854017,-2.74101586974835,-1.43921540978301,0.927000873855705,1,1,1,1,0.0797273174049154,-0.0348993971996261,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,-1.90343008595254,0.133747571647149,0.151068393706374,0.129444105560197,0.127219101172969,0.174601507779932,0.245376031607373,-1.28641716973847,0.946357225866642,1,0.110667009148621,-0.0494905298352523,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
"180823TK20_p0001-010TK",1,0.159477,0.386928,34.5,1,0,1,10,"blank","GMP-","180823TK20",0.733171932658123,0.285717708599886,0.226760461719347,0.144950041843244,0.148586683762199,0.202203141621785,0.1545291,-1.79544093584676,-0.936817432884865,1.77201265054756,2,1,1,1,0.101207671665859,-0.0259625260086636,1,0.0658015126411768,0.0131603025282354,18,0,0,31.1824104234528,0,0,36.6363636363636,-1.48307586295638,0.362573920186325,0.294853574651516,0.195284649887801,0.199859740925383,0.26568069525722,0.207304536816316,-0.953687969901447,1.47093384147245,1.58496250072116,0.139086565750559,-0.036978036472447,1,0.0919387857601965,0,0,0.0188624558428444,0,0,4.24792751344359,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
"180823TK20_p0001-011TK",1,0.20824,0.221395,65,1,0,1,11,"blank","GMP-","180823TK20",1.17481143815055,0.17329702350593,0.136184192810481,0.120498278671406,0.10241957205843,0.169156485699045,0.1933592,-2.16875232066455,-0.677056449803766,2.19432811077645,0,1,1,1,0.11855622121201,-0.0286620791402692,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,-1.66391489868719,0.230568281989301,0.184196736702903,0.164140432557246,0.140673406599131,0.225468040248366,0.255028358254924,-0.745931250906614,1.67551250920439,0,0.161637771395097,-0.040769127211787,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
"180823TK20_p0001-012TK",1,0.242418,0.58549,46.5,1,0,1,12,"blank","GMP-","180823TK20",1.05105949334013,0.108252703101312,0.191094335506002,0.171644169686319,0.215667638939266,0.194697100502891,0.222178,-0.369568777013304,-0.884443724148322,1.17859487798143,1,1,1,1,0.0112773114695408,-0.0342402673881141,0,0,0,22.3445595854922,0,0,31.1824104234528,0,0,36.6363636363636,-0.453721717130956,0.148286881335663,0.252287680185271,0.228534487358805,0.281748852799013,0.256644888503615,0.289454416920968,-0.914138711900963,1.12339794410582,1,0.0161786659082531,-0.0485713813033188,0,0,0,0,0,0,0,4.54501446608388,5.00820048110186,5.23405533886203,"non-responsive",0.958955223880597,0.00373134328358209,0.0373134328358209,0,0.974358974358974,0,0.0256410256410256,0
