threshold,f1,tp,fp,fn,merges,splits,val
0.55,0.9032258064467568,84,13,5,0,0,10
0.6,0.8817204301027864,82,15,7,0,0,10
0.65,0.8279569892428605,77,20,12,0,0,10
0.7,0.7634408602109493,71,26,18,0,0,10
0.75,0.5806451612872009,54,43,35,0,0,10
0.8,0.3655913978474968,34,63,55,0,0,10
0.85,0.2580645161276448,24,73,65,0,0,10
0.9,0.0967741935478668,9,88,80,0,0,10
0.5,0.9333333333271112,70,7,3,1,0,10
0.55,0.9066666666606222,68,9,5,1,0,10
0.6,0.8799999999941334,66,11,7,1,0,10
0.65,0.8399999999944,63,14,10,1,0,10
0.7,0.7733333333281779,58,19,15,1,0,10
0.75,0.6666666666622223,50,27,23,1,0,10
0.8,0.5466666666630222,41,36,32,1,0,10
0.85,0.3066666666646222,23,54,50,1,0,10
0.9,0.1199999999992,9,68,64,1,0,10
0.5,0.9282296650673292,97,14,1,0,0,10
0.55,0.9186602870769442,96,15,2,0,0,10
0.6,0.9186602870769442,96,15,2,0,0,10
0.65,0.9186602870769442,96,15,2,0,0,10
0.7,0.8612440191346352,90,21,8,0,0,10
0.75,0.7942583732019414,83,28,15,0,0,10
0.8,0.6315789473653992,66,45,32,0,0,10
0.85,0.4114832535865479,43,68,55,0,0,10
0.9,0.1339712918653877,14,97,84,0,0,10
0.5,0.9424460431620776,131,11,5,0,0,10
0.55,0.9208633093492056,128,14,8,0,0,10
0.6,0.8920863309320429,124,18,12,0,0,10
0.65,0.8345323740977175,116,26,20,0,0,10
0.7,0.7625899280548109,106,36,30,0,0,10
0.75,0.6690647481990322,93,49,43,0,0,10
0.8,0.5035971223003468,70,72,66,0,0,10
0.85,0.3093525179844987,43,99,93,0,0,10
0.9,0.1151079136686507,16,126,120,0,0,10
0.5,0.9145299145260064,107,13,7,2,0,10
0.55,0.8974358974320623,105,15,9,2,0,10
0.6,0.8717948717911462,102,18,12,2,0,10
0.65,0.8034188034153701,94,26,20,2,0,10
0.7,0.7521367521335379,88,32,26,2,0,10
0.75,0.6410256410229016,75,45,39,2,0,10
0.8,0.4871794871774052,57,63,57,2,0,10
0.85,0.3247863247849368,38,82,76,2,0,10
0.9,0.1623931623924684,19,101,95,2,0,10
0.5,0.9453124999963074,121,9,5,0,0,10
0.55,0.9140624999964296,117,13,9,0,0,10
0.6,0.8749999999965821,112,18,14,0,0,10
0.65,0.8515624999966737,109,21,17,0,0,10
0.7,0.7890624999969178,101,29,25,0,0,10
0.75,0.6874999999973145,88,42,38,0,0,10
0.8,0.5390624999978944,69,61,57,0,0,10
0.85,0.3281249999987183,42,88,84,0,0,10
0.9,0.1093749999995727,14,116,112,0,0,10
0.5,0.9297297297247042,86,12,1,0,0,11
0.55,0.9189189189139518,85,13,2,0,0,11
0.6,0.8864864864816947,82,16,5,0,0,11
0.65,0.86486486486019,80,18,7,0,0,11
0.7,0.7999999999956757,74,24,13,0,0,11
0.75,0.6918918918881519,64,34,23,0,0,11
0.8,0.5297297297268664,49,49,38,0,0,11
0.85,0.2918918918903141,27,71,60,0,0,11
0.9,0.1081081081075237,10,88,77,0,0,11
0.5,0.9424083769584168,90,8,3,0,1,11
0.55,0.9424083769584168,90,8,3,0,1,11
0.6,0.93193717276999,89,9,4,0,1,11
0.65,0.8900523560162825,85,13,8,0,1,11
0.7,0.8272251308857214,79,19,14,0,1,11
0.75,0.7539267015667334,72,26,21,0,1,11
0.8,0.5759162303634769,55,43,38,0,1,11
0.85,0.3769633507833667,36,62,57,0,1,11
0.9,0.1256544502611222,12,86,81,0,1,11
0.5,0.8472906403899149,86,27,4,0,0,11
0.55,0.8472906403899149,86,27,4,0,0,11
0.6,0.8472906403899149,86,27,4,0,0,11
0.65,0.7980295566463151,81,32,9,0,0,11
0.7,0.7389162561539955,75,38,15,0,0,11
0.75,0.6798029556616759,69,44,21,0,0,11
0.8,0.5517241379283166,56,57,34,0,0,11
