loss_test_step,f1_step,tp_step,fp_step,fn_step,splits_step,merges_step,inaccurate_masks_step,iou_step,iou_big_step,iou_small_step,z,z_um
0.0171102117747068,0.0,0.0,4.0,43.0,0.0,0.0,0.0,0.0023037698119878,0.0,0.0023037698119878,z10,-8.2
0.0255259107798337,0.0,0.0,2.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,z10,-8.2
0.0138734420761466,0.0,0.0,1.0,40.0,0.0,0.0,1.0,0.0040433024987578,0.0,0.0040433024987578,z10,-8.2
0.0135243823751807,0.0384615398943424,1.0,2.0,45.0,0.0,0.0,3.0,0.0349165871739387,0.0,0.0349165871739387,z10,-8.2
0.0194013379514217,0.0,0.0,0.0,38.0,0.0,0.0,2.0,0.0153341796249151,0.0,0.0153341796249151,z10,-8.2
0.0174332130700349,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.00239769811742,0.0,0.00239769811742,z10,-8.2
0.0152517687529325,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0204833149909973,0.0,0.0204833149909973,z100,9.8
0.0300542302429676,0.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0117231961339712,0.0,0.0117231961339712,z100,9.8
0.0232117567211389,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0203692950308322,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0220784526318311,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0342825651168823,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0178744178265333,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0249660573899745,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0301485303789377,0.0,0.0,1.0,35.0,0.0,0.0,1.0,0.005185869988054,0.0,0.005185869988054,z100,9.8
0.0197009798139333,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0256213527172803,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0185535997152328,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0241225343197584,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0251269321888685,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0286238025873899,0.0,0.0,0.0,38.0,0.0,0.0,1.0,0.0087481150403618,0.0,0.0087481150403618,z100,9.8
0.0243304446339607,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0135845458135008,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0018812709022313,0.0,0.0018812709022313,z100,9.8
0.0317022688686847,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0270753353834152,0.0,0.0,0.0,41.0,0.0,0.0,2.0,0.0233330223709344,0.0,0.0233330223709344,z100,9.8
0.0367818251252174,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0268814116716384,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0328484363853931,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0352305248379707,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,z100,9.8
0.0259891971945762,0.0,0.0,1.0,34.0,0.0,0.0,0.0,0.0005636400892399,0.0,0.0005636400892399,z100,9.8
0.0155919101089239,0.0,0.0,0.0,21.0,0.0,0.0,1.0,0.0165185686200857,0.0,0.0165185686200857,z101,10.0
0.0309677179902791,0.0,0.0,0.0,45.0,0.0,0.0,1.0,0.0104712042957544,0.0,0.0104712042957544,z101,10.0
0.0235154870897531,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,z101,10.0
0.0203755311667919,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,z101,10.0
0.0225629266351461,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,z101,10.0
0.0347715094685554,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,z101,10.0
0.0182679258286952,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,z101,10.0
0.0249103214591741,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,z101,10.0
0.0309861376881599,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,z101,10.0
0.0202817320823669,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,z101,10.0
