threshold,f1,tp,fp,fn,merges,splits,val
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,1,23,0,0,best_model_d3
0.55,0.0,0,1,23,0,0,best_model_d3
0.6,0.0,0,1,23,0,0,best_model_d3
0.65,0.0,0,1,23,0,0,best_model_d3
0.7,0.0,0,1,23,0,0,best_model_d3
0.75,0.0,0,1,23,0,0,best_model_d3
0.8,0.0,0,1,23,0,0,best_model_d3
0.85,0.0,0,1,23,0,0,best_model_d3
0.9,0.0,0,1,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
0.65,0.0,0,0,23,0,0,best_model_d3
0.7,0.0,0,0,23,0,0,best_model_d3
0.75,0.0,0,0,23,0,0,best_model_d3
0.8,0.0,0,0,23,0,0,best_model_d3
0.85,0.0,0,0,23,0,0,best_model_d3
0.9,0.0,0,0,23,0,0,best_model_d3
0.5,0.0,0,0,23,0,0,best_model_d3
0.55,0.0,0,0,23,0,0,best_model_d3
0.6,0.0,0,0,23,0,0,best_model_d3
