,lr,metric,f1,good,bad,rep
0,0.0001,f1,0.7523221373558044,0.8014589280050746,0.08087535680304472,1
1,0.005,f1,0.7684716582298279,0.8341262289882652,0.053599746273390425,2
2,0.001,f1,0.7673653364181519,0.8372978116079924,0.060894386298763085,1
3,0.0005,f1,0.7585818767547607,0.8182683158896289,0.06406596891849033,2
4,0.0005,f1,0.7564328908920288,0.8271487472248652,0.08277830637488108,1
5,0.0005,f1,0.7692249417304993,0.8284173802727561,0.06343165239454487,3
6,0.001,f1,0.7649528384208679,0.8233428480811925,0.0688233428480812,2
7,0.005,f1,0.7728232145309448,0.8300031715826197,0.060260069774817626,3
8,0.005,f1,0.7666162848472595,0.8347605455122106,0.06057722803679036,1
9,0.0001,f1,0.7516818046569824,0.7957500792895655,0.07484934982556296,2
10,0.0001,f1,0.750690221786499,0.8071677767205836,0.08563273073263558,3
11,0.001,f1,0.7672249674797058,0.8271487472248652,0.05677132889311767,3
