loss_test_step,f1_step,tp_step,fp_step,fn_step,splits_step,merges_step,inaccurate_masks_step,iou_step,iou_big_step,iou_small_step,step,loss_test_epoch,f1_epoch,tp_epoch,fp_epoch,fn_epoch,splits_epoch,merges_epoch,inaccurate_masks_epoch,iou_epoch,iou_big_epoch,iou_small_epoch,epoch
0.00456247990950942,0.47999998927116394,12.0,8.0,1.0,0.0,0.0,17.0,0.5300694108009338,0.0,0.5300694108009338,0,,,,,,,,,,,,
0.004336385056376457,0.5199999809265137,13.0,6.0,2.0,0.0,0.0,16.0,0.5288154482841492,0.0,0.5288154482841492,1,,,,,,,,,,,,
0.004936677869409323,0.4680851101875305,11.0,6.0,1.0,0.0,0.0,18.0,0.49869224429130554,0.0,0.49869224429130554,2,,,,,,,,,,,,
0.003944387659430504,0.5416666865348816,13.0,5.0,1.0,0.0,0.0,16.0,0.5580873489379883,0.0,0.5580873489379883,3,,,,,,,,,,,,
0.004431977868080139,0.5384615659713745,14.0,6.0,3.0,0.0,0.0,15.0,0.5093731880187988,0.0,0.5093731880187988,4,,,,,,,,,,,,
0.003488898277282715,0.5306122303009033,13.0,6.0,1.0,0.0,0.0,16.0,0.5717746615409851,0.0,0.5717746615409851,5,,,,,,,,,,,,
0.004130239132791758,0.52173912525177,12.0,3.0,1.0,0.0,0.0,18.0,0.5315662026405334,0.0,0.5315662026405334,6,,,,,,,,,,,,
0.004016810562461615,0.5882353186607361,15.0,5.0,2.0,0.0,0.0,14.0,0.547423779964447,0.0,0.547423779964447,7,,,,,,,,,,,,
0.00425377395004034,0.42307692766189575,11.0,10.0,2.0,0.0,0.0,18.0,0.5224173069000244,0.0,0.5224173069000244,8,,,,,,,,,,,,
0.004630862735211849,0.4680851101875305,11.0,6.0,1.0,0.0,0.0,18.0,0.5254127383232117,0.0,0.5254127383232117,9,,,,,,,,,,,,
0.00519222766160965,0.375,9.0,9.0,5.0,0.0,0.0,16.0,0.4565068185329437,0.0,0.4565068185329437,10,,,,,,,,,,,,
0.004950658418238163,0.40816327929496765,10.0,9.0,8.0,0.0,0.0,12.0,0.4258265197277069,0.0,0.4258265197277069,11,,,,,,,,,,,,
0.004383048042654991,0.5490196347236633,14.0,7.0,4.0,0.0,0.0,12.0,0.5158787369728088,0.0,0.5158787369728088,12,,,,,,,,,,,,
0.005138210952281952,0.5,12.0,6.0,2.0,0.0,0.0,16.0,0.5128433108329773,0.0,0.5128433108329773,13,,,,,,,,,,,,
0.003960832953453064,0.5925925970077515,16.0,8.0,3.0,0.0,0.0,11.0,0.5237051248550415,0.0,0.5237051248550415,14,,,,,,,,,,,,
0.004228565841913223,0.5,13.0,10.0,4.0,0.0,0.0,12.0,0.5091785192489624,0.0,0.5091785192489624,15,,,,,,,,,,,,
0.005443177185952663,0.3478260934352875,8.0,7.0,9.0,0.0,0.0,14.0,0.3736153542995453,0.0,0.3736153542995453,16,,,,,,,,,,,,
0.005180139094591141,0.23255814611911774,5.0,8.0,4.0,0.0,0.0,21.0,0.3791370689868927,0.0,0.3791370689868927,17,,,,,,,,,,,,
0.005283791571855545,0.3404255211353302,8.0,8.0,5.0,0.0,0.0,18.0,0.408636212348938,0.0,0.408636212348938,18,,,,,,,,,,,,
0.005940052215009928,0.375,9.0,9.0,6.0,0.0,0.0,15.0,0.41975486278533936,0.0,0.41975486278533936,19,,,,,,,,,,,,
0.004577937535941601,0.5106382966041565,12.0,4.0,1.0,0.0,0.0,18.0,0.48488494753837585,0.0,0.48488494753837585,20,,,,,,,,,,,,
0.004965594038367271,0.3181818127632141,7.0,7.0,4.0,0.0,0.0,19.0,0.45898497104644775,0.0,0.45898497104644775,21,,,,,,,,,,,,
0.005910541396588087,0.260869562625885,6.0,8.0,5.0,0.0,0.0,21.0,0.36767634749412537,0.0,0.36767634749412537,22,,,,,,,,,,,,
0.006016819272190332,0.3913043439388275,9.0,7.0,9.0,1.0,0.0,12.0,0.384234219789505,0.0,0.384234219789505,23,,,,,,,,,,,,
0.005999969318509102,0.4680851101875305,11.0,6.0,5.0,0.0,0.0,14.0,0.46125826239585876,0.0,0.46125826239585876,24,,,,,,,,,,,,
0.006877853535115719,0.52173912525177,12.0,4.0,5.0,0.0,0.0,13.0,0.4543408155441284,0.0,0.4543408155441284,25,,,,,,,,,,,,
0.0056516253389418125,0.40740740299224854,11.0,10.0,9.0,0.0,0.0,13.0,0.4173545837402344,0.0,0.4173545837402344,26,,,,,,,,,,,,
0.005284655839204788,0.5490196347236633,14.0,6.0,4.0,0.0,0.0,13.0,0.5065991878509521,0.0,0.5065991878509521,27,,,,,,,,,,,,
0.006480162963271141,0.4166666567325592,10.0,5.0,6.0,0.0,0.0,17.0,0.43115994334220886,0.0,0.43115994334220886,28,,,,,,,,,,,,
0.005320344120264053,0.5306122303009033,13.0,4.0,6.0,0.0,0.0,13.0,0.48096609115600586,0.0,0.48096609115600586,29,,,,,,,,,,,,
0.005925515666604042,0.27906978130340576,6.0,5.0,7.0,0.0,0.0,19.0,0.4099610149860382,0.0,0.4099610149860382,30,,,,,,,,,,,,
0.0048605650663375854,0.3478260934352875,8.0,6.0,4.0,0.0,0.0,20.0,0.44371265172958374,0.0,0.44371265172958374,31,,,,,,,,,,,,
0.004572384525090456,0.5306122303009033,13.0,5.0,3.0,0.0,0.0,15.0,0.4873746931552887,0.0,0.4873746931552887,32,,,,,,,,,,,,
0.005797151941806078,0.5106382966041565,12.0,3.0,6.0,0.0,0.0,14.0,0.44630199670791626,0.0,0.44630199670791626,33,,,,,,,,,,,,
