f1,tp,fp,fn,splits,merges,inaccurate_masks
0.7222222222021606,13,0,0,0,0,10
0.8499999999787501,17,0,0,0,0,6
0.7894736841897507,15,0,0,0,0,8
0.8205128204917818,16,0,0,0,0,7
0.9302325581179016,20,0,0,0,0,3
0.9047619047403629,19,0,0,0,0,4
0.9047619047403629,19,0,0,0,0,4
0.9047619047403629,19,0,0,0,0,4
0.8780487804663891,18,0,0,0,0,5
0.9047619047403629,19,0,0,0,0,4
0.79999999998,16,1,0,0,0,7
0.79999999998,16,1,0,0,0,7
0.8571428571224491,18,1,0,0,0,5
0.7368421052437674,14,1,0,0,0,9
0.8571428571224491,18,1,0,0,0,5
0.6470588235103807,11,0,0,0,0,12
0.8372093023061115,18,2,1,0,0,4
0.8571428571224491,18,1,0,0,0,5
0.7692307692110454,15,2,0,0,0,7
0.8095238095045352,17,2,1,0,0,5
0.8292682926627009,17,1,0,0,0,6
0.8292682926627009,17,1,0,0,0,6
0.7368421052437674,14,1,0,0,0,9
0.909090909070248,20,1,0,0,0,3
0.79999999998,16,1,0,0,0,7
0.8292682926627009,17,1,0,0,0,6
0.7692307692110454,15,1,0,0,0,8
0.8837209302120066,19,1,0,0,0,4
0.8292682926627009,17,1,0,0,0,6
0.7027027026837108,13,1,0,0,0,10
0.684210526297784,13,2,1,0,0,9
0.8372093023061115,18,2,1,0,0,4
0.6666666666481482,12,1,0,0,0,11
0.8292682926627009,17,1,0,0,0,6
0.7692307692110454,15,1,0,0,0,8
0.7368421052437674,14,2,0,0,0,8
0.7179487179303091,14,2,1,0,0,8
0.8292682926627009,17,1,0,0,0,6
0.8095238095045352,17,2,1,0,0,5
0.7692307692110454,15,1,0,0,0,8
0.79999999998,16,1,0,0,0,7
0.8571428571224491,18,1,0,0,0,5
0.7368421052437674,14,1,0,0,0,9
0.7179487179303091,14,2,1,0,0,8
0.8837209302120066,19,1,0,0,0,4
0.8372093023061115,18,2,1,0,0,4
0.79999999998,16,1,0,0,0,7
0.7027027026837108,13,1,0,0,0,10
0.7368421052437674,14,2,0,0,0,8
0.7692307692110454,15,1,0,0,0,8
0.7027027026837108,13,1,0,0,0,10
0.6285714285534695,11,0,0,0,0,13
0.7027027026837108,13,1,0,0,0,10
0.79999999998,16,1,0,0,0,7
0.7692307692110454,15,1,0,0,0,8
0.8571428571224491,18,0,0,0,0,6
0.8292682926627009,17,0,0,0,0,7
0.79999999998,16,1,0,0,0,7
0.8292682926627009,17,0,0,0,0,7
0.79999999998,16,1,0,0,0,7
0.8571428571224491,18,0,0,0,0,6
0.79999999998,16,0,0,0,0,8
0.8571428571224491,18,0,0,0,0,6
0.7692307692110454,15,0,0,0,0,9
0.79999999998,16,0,0,0,0,8
0.7692307692110454,15,0,0,0,0,9
0.8292682926627009,17,0,0,0,0,7
0.7027027026837108,13,1,0,0,0,10
0.7692307692110454,15,0,0,0,0,9
0.7368421052437674,14,0,0,0,0,10
0.7499999999812501,15,1,1,0,0,8
0.7692307692110454,15,1,0,0,0,8
0.7027027026837108,13,0,0,0,0,11
0.79999999998,16,0,0,0,0,8
0.6666666666481482,12,1,0,0,0,11
0.6666666666481482,12,2,0,0,0,10
0.79999999998,16,0,0,0,0,8
0.7368421052437674,14,0,0,0,0,10
0.7368421052437674,14,1,0,0,0,9
0.5454545454380166,9,0,0,0,0,15
0.8571428571224491,18,0,0,0,0,6
0.8292682926627009,17,1,0,0,0,6
0.79999999998,16,0,0,0,0,8
0.7499999999812501,15,1,1,0,0,8
0.8292682926627009,17,0,0,0,0,7
0.7368421052437674,14,0,0,0,0,10
0.7368421052437674,14,0,0,0,0,10
0.6666666666481482,12,1,0,0,0,11
0.7368421052437674,14,1,1,0,0,8
0.8292682926627009,17,1,1,0,0,5
0.8571428571224491,18,0,1,0,0,5
0.7179487179303091,14,1,2,0,0,8
0.79999999998,16,0,1,0,0,7
0.7368421052437674,14,0,1,0,0,9
0.7179487179303091,14,2,2,0,0,7
0.79999999998,16,1,1,0,0,6
0.8571428571224491,18,1,1,0,0,4
0.79999999998,16,1,1,0,0,6
0.7368421052437674,14,1,1,0,0,8
0.7368421052437674,14,2,1,0,0,7
0.7368421052437674,14,2,1,0,0,7
0.79999999998,16,0,1,0,0,7
