f1,tp,fp,fn,splits,merges,inaccurate_masks
0.5833333333211806,14,4,0,0,0,16
0.6415094339501602,17,5,2,0,0,12
0.6122448979466889,15,4,0,0,0,15
0.6530612244764682,16,4,0,0,1,13
0.6538461538335799,17,3,0,0,0,15
0.6666666666535949,17,4,0,0,0,13
0.6799999999864,17,2,0,0,0,14
0.7169811320619438,19,3,0,0,0,12
0.541666666655382,13,4,0,0,0,18
0.5777777777649383,13,3,0,0,1,16
0.4999999999886364,11,3,0,0,0,19
0.6086956521606806,14,2,2,0,0,14
0.6530612244764682,16,3,1,0,0,13
0.6249999999869792,15,3,1,0,0,14
0.7307692307551775,19,3,1,0,0,10
0.5957446808383885,14,4,1,0,0,14
0.6249999999869792,15,2,3,0,0,13
0.5531914893499321,13,4,2,0,0,15
0.5833333333211806,14,3,2,0,0,15
0.6923076922943787,18,4,0,0,0,12
0.679245283006052,18,4,1,0,0,12
0.5833333333211806,14,4,0,0,0,16
0.6399999999872,16,2,1,0,0,15
0.6530612244764682,16,2,1,0,0,14
0.5957446808383885,14,3,3,0,0,13
0.6666666666527779,16,3,1,0,1,12
0.5714285714169096,14,2,2,0,0,17
0.7307692307551775,19,2,1,0,0,11
0.6399999999872,16,1,1,0,0,16
0.6923076922943787,18,2,2,0,0,12
0.5833333333211806,14,2,1,0,0,17
0.6249999999869792,15,2,1,0,1,15
0.7547169811178356,20,2,0,0,0,11
0.6799999999864,17,1,1,0,0,14
0.5833333333211806,14,2,1,0,0,17
0.6122448979466889,15,5,0,0,0,14
0.5957446808383885,14,3,0,0,0,16
0.7199999999856,18,1,0,0,0,13
0.6938775510062475,17,2,1,0,0,12
0.5777777777649383,13,1,0,0,0,18
0.6382978723268448,15,2,1,0,1,14
0.5957446808383885,14,2,2,0,0,15
0.7169811320619438,19,4,1,1,0,10
0.6923076922943787,18,3,0,0,0,13
0.599999999988,15,4,0,0,0,16
0.4999999999886364,11,4,0,0,0,18
0.6222222222083951,14,2,0,0,0,15
0.6923076922943787,18,4,1,0,0,11
0.5652173912920605,13,4,2,0,0,14
0.47619047617913834,10,2,0,0,0,20
0.6666666666527779,16,3,1,0,0,12
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.0,0,1,0,0,0,1
0.9999999995,1,0,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.499999999875,1,2,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.39999999992,1,3,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.499999999875,1,2,0,0,0,0
0.499999999875,1,2,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.499999999875,1,2,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.499999999875,1,2,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.0,0,1,0,0,0,1
0.0,0,0,0,0,0,1
0.6666666664444444,1,1,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.6666666664444444,1,1,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.0,0,1,0,0,0,1
0.0,0,1,0,0,0,1
0.6666666664444444,1,1,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.9999999995,1,0,0,0,0,0
0.74999999990625,3,1,0,0,0,1
0.5714285713469388,2,1,0,0,0,2
0.999999999875,4,0,0,0,0,0
0.74999999990625,3,1,0,0,0,1
0.74999999990625,3,1,0,0,0,1
0.8888888887901234,4,1,0,0,0,0
0.5714285713469388,2,1,0,0,0,2
0.33333333327777775,1,1,0,0,0,3
0.5714285713469388,2,1,0,0,0,2
0.74999999990625,3,1,0,0,0,1
0.74999999990625,3,1,0,0,0,1
0.8571428570204082,3,0,0,0,0,1
0.8571428570204082,3,0,0,0,0,1
0.6666666665555555,2,0,0,0,0,2
0.6666666665555555,2,0,0,0,0,2
0.6666666665555555,2,0,0,0,0,2
0.6666666665555555,2,0,0,0,0,2
0.999999999875,4,0,0,0,0,0
0.6666666665555555,2,0,0,0,0,2
0.999999999875,4,0,0,0,0,0
0.6666666665555555,2,0,0,0,0,2
0.8571428570204082,3,0,0,0,0,1
0.8571428570204082,3,0,0,0,0,1
0.6666666665555555,2,0,0,0,0,2
0.8571428570204082,3,0,0,0,0,1
0.8571428570204082,3,0,0,0,0,1
0.6666666665555555,2,0,0,0,0,2
0.6666666665555555,2,0,0,0,0,2
0.6666666665555555,2,0,0,0,0,2
0.999999999875,4,0,0,0,0,0
0.8571428570204082,3,0,0,0,0,1
0.6666666665555555,2,0,0,0,0,2
0.6666666665555555,2,0,0,0,0,2
0.39999999992,1,0,0,0,0,3
