threshold,f1,tp,fp,fn,splits,merges,val
0.5,0.9689440993773776,312,16,4,0,0,18
0.55,0.9565217391289496,308,20,8,0,0,18
0.6,0.9378881987563076,302,26,14,0,0,18
0.65,0.8913043478247029,287,41,29,0,0,18
0.7,0.8043478260857075,259,69,57,0,0,18
0.75,0.6490683229803585,209,119,107,0,0,18
0.8,0.4192546583844421,135,193,181,0,0,18
0.85,0.1614906832295629,52,276,264,0,0,18
0.9,0.0248447204968558,8,320,308,0,0,18
0.5,0.9584664536725904,300,21,5,0,0,18
0.55,0.93610223642023,293,28,12,0,0,18
0.6,0.9073482428100522,284,37,21,0,0,18
0.65,0.8498402555896968,266,55,39,0,0,18
0.7,0.7476038338646205,234,87,71,0,0,18
0.75,0.6261980830660924,196,125,109,0,0,18
0.8,0.402555910542488,126,195,179,0,0,18
0.85,0.2172523961657871,68,253,237,0,0,18
0.9,0.0511182108625381,16,305,289,0,0,18
0.5,0.9695817490475864,255,12,4,0,0,18
0.55,0.939163498097074,247,20,12,0,0,18
0.6,0.9125475285153754,240,27,19,0,0,18
0.65,0.8479087452455363,223,44,36,0,0,18
0.7,0.7794676806068832,205,62,54,0,0,18
0.75,0.6235741444855065,164,103,95,0,0,18
0.8,0.4448669201512455,117,150,142,0,0,18
0.85,0.2319391634976579,61,206,198,0,0,18
0.9,0.0570342205322109,15,252,244,0,0,18
0.5,0.93663911845472,170,14,9,0,1,18
0.55,0.931129476581457,169,15,10,0,1,18
0.6,0.9090909090884048,165,19,14,0,1,18
0.65,0.8815426997220894,160,24,19,0,1,18
0.7,0.8154269972429328,148,36,31,0,1,18
0.75,0.6887052341578824,125,59,54,0,1,18
0.8,0.4297520661145186,78,106,101,0,1,18
0.85,0.1707988980711548,31,153,148,0,1,18
0.9,0.0220385674930522,4,180,175,0,1,18
0.5,0.9230769230743872,168,21,7,0,1,18
0.55,0.9230769230743872,168,21,7,0,1,18
0.6,0.9120879120854064,166,23,9,0,1,18
0.65,0.8681318681294832,158,31,17,0,1,18
0.7,0.8076923076900888,147,42,28,0,1,18
0.75,0.6758241758223191,123,66,52,0,1,18
0.8,0.4450549450537224,81,108,94,0,1,18
0.85,0.1868131868126736,34,155,141,0,1,18
0.9,0.0329670329669424,6,183,169,0,1,18
0.5,0.9060542797475866,217,30,15,0,1,18
0.55,0.8935281837142097,214,33,18,0,1,18
0.6,0.876826722336374,210,37,22,0,1,18
0.65,0.8392484342362437,201,46,31,0,1,18
0.7,0.7849686847582777,188,59,44,0,1,18
0.75,0.6764091858023458,162,85,70,0,1,18
0.8,0.4050104384125157,97,150,135,0,1,18
0.85,0.1544885177449801,37,210,195,0,1,18
0.9,0.0208768267222946,5,242,227,0,1,18
0.5,0.908799999998546,284,41,16,0,0,18
0.55,0.8927999999985715,279,46,21,0,0,18
0.6,0.8479999999986432,265,60,35,0,0,18
0.65,0.7999999999987201,250,75,50,0,0,18
0.7,0.7391999999988172,231,94,69,0,0,18
0.75,0.6015999999990375,188,137,112,0,0,18
0.8,0.4319999999993088,135,190,165,0,0,18
0.85,0.1951999999996876,61,264,239,0,0,18
0.9,0.0127999999999795,4,321,296,0,0,18
0.5,0.9228571428558244,323,33,21,0,0,18
0.55,0.9228571428558244,323,33,21,0,0,18
0.6,0.8914285714272979,312,44,32,0,0,18
0.65,0.8742857142844653,306,50,38,0,0,18
0.7,0.7885714285703019,276,80,68,0,0,18
0.75,0.6257142857133918,219,137,125,0,0,18
0.8,0.4371428571422327,153,203,191,0,0,18
0.85,0.2114285714282694,74,282,270,0,0,18
0.9,0.0314285714285265,11,345,333,0,0,18
0.5,0.9383378016073212,350,30,16,0,1,18
0.55,0.9302949061649728,347,33,19,0,1,18
0.6,0.9008042895430284,336,44,30,0,1,18
0.65,0.8418230562991397,314,66,52,0,1,18
0.7,0.7587131367282055,283,97,83,0,1,18
0.75,0.5924932975863372,221,159,145,0,1,18
0.8,0.372654155495479,139,241,227,0,1,18
0.85,0.1474530831097219,55,325,311,0,1,18
0.9,0.0214477211795959,8,372,358,0,1,18
0.5,0.9068322981347684,219,28,17,0,0,18
0.55,0.894409937886347,216,31,20,0,0,18
0.6,0.8737060041389778,211,36,25,0,0,18
0.65,0.8281573498947657,200,47,36,0,0,18
0.7,0.72463768115792,175,72,61,0,0,18
0.75,0.5962732919242313,144,103,92,0,0,18
0.8,0.3975155279494876,96,151,140,0,0,18
0.85,0.1697722567284269,41,206,195,0,0,18
0.9,0.0207039337473691,5,242,231,0,0,18
