threshold,f1,tp,fp,fn,merges,splits,val
0.5,0.7614879649873928,174,48,61,4,0,1
0.55,0.7264770240684323,166,56,69,4,0,1
0.6,0.6783369803048614,155,67,80,4,0,1
0.65,0.59518599562233,136,86,99,4,0,1
0.7,0.5032822757100585,115,107,120,4,0,1
0.75,0.4026258205680468,92,130,143,4,0,1
0.8,0.2188183807435036,50,172,185,4,0,1
0.85,0.0962800875271416,22,200,213,4,0,1
0.9,0.0131291028446102,3,219,232,4,0,1
0.5,0.8972972972924471,83,3,16,0,0,1
0.55,0.8864864864816947,82,4,17,0,0,1
0.6,0.86486486486019,80,6,19,0,0,1
0.65,0.8108108108064281,75,11,24,0,0,1
0.7,0.6378378378343901,59,27,40,0,0,1
0.75,0.4972972972946092,46,40,53,0,0,1
0.8,0.2810810810795617,26,60,73,0,0,1
0.85,0.1189189189182761,11,75,88,0,0,1
0.9,0.0108108108107523,1,85,98,0,0,1
0.5,0.8743718592920886,87,6,19,2,0,1
0.55,0.8542713567796268,85,8,21,2,0,1
0.6,0.8341708542671651,83,10,23,2,0,1
0.65,0.7537688442173178,75,18,31,2,0,1
0.7,0.6733668341674706,67,26,39,2,0,1
0.75,0.5025125628115452,50,43,56,2,0,1
0.8,0.3015075376869271,30,63,76,2,0,1
0.85,0.1909547738683871,19,74,87,2,0,1
0.9,0.0402010050249236,4,89,102,2,0,1
0.5,0.8975265017636129,127,11,18,1,0,1
0.55,0.8904593639544507,126,12,19,1,0,1
0.6,0.8763250883361261,124,14,21,1,0,1
0.65,0.8551236749086392,121,17,24,1,0,1
0.7,0.7844522968170161,111,27,34,1,0,1
0.75,0.6501766784429323,92,46,53,1,0,1
0.8,0.3816254416947646,54,84,91,1,0,1
0.85,0.162544169610733,23,115,122,1,0,1
0.9,0.0353356890458115,5,133,140,1,0,1
0.5,0.9318801089892864,171,16,9,0,0,1
0.55,0.91008174386673,167,20,13,0,0,1
0.6,0.8828337874635346,162,25,18,0,0,1
0.65,0.8719346049022564,160,27,20,0,0,1
0.7,0.8065395095345871,148,39,32,0,0,1
0.75,0.6757493187992487,124,63,56,0,0,1
0.8,0.479564032696241,88,99,92,0,0,1
0.85,0.2179836512255641,40,147,140,0,0,1
0.9,0.0326975476838346,6,181,174,0,0,1
0.5,0.8720379146878103,92,14,13,0,0,1
0.55,0.8625592417020732,91,15,14,0,0,1
0.6,0.8341232227448621,88,18,17,0,0,1
0.65,0.7867298578161767,83,23,22,0,0,1
0.7,0.691943127958806,73,33,32,0,0,1
0.75,0.5213270142155387,55,51,50,0,0,1
0.8,0.4549763033153793,48,58,57,0,0,1
0.85,0.2369668246434267,25,81,80,0,0,1
0.9,0.0379146919429482,4,102,101,0,0,1
0.5,0.8205128205101907,128,32,24,0,0,1
0.55,0.8012820512794828,125,35,27,0,0,1
0.6,0.7692307692283038,120,40,32,0,0,1
0.65,0.6858974358952376,107,53,45,0,0,1
0.7,0.5833333333314636,91,69,61,0,0,1
0.75,0.4487179487165105,70,90,82,0,0,1
0.8,0.3012820512810856,47,113,105,0,0,1
0.85,0.1474358974354249,23,137,129,0,0,1
0.9,0.0064102564102358,1,159,151,0,0,1
0.5,0.8054298642497493,89,24,19,3,0,1
0.55,0.7601809954716734,84,29,24,3,0,1
0.6,0.7239819004492127,80,33,28,3,0,1
0.65,0.6425339366486763,71,42,37,3,0,1
0.7,0.4977375565588338,55,58,53,3,0,1
0.75,0.3800904977358367,42,71,66,3,0,1
0.8,0.2171945701347638,24,89,84,3,0,1
0.85,0.1085972850673819,12,101,96,3,0,1
0.9,0.0271493212668454,3,110,105,3,0,1
0.5,0.8844221105483195,88,13,10,0,1,1
0.55,0.8743718592920886,87,14,11,0,1,1
0.6,0.8643216080358578,86,15,12,0,1,1
0.65,0.8140703517547032,81,20,17,0,1,1
0.7,0.733668341704856,73,28,25,0,1,1
0.75,0.6331658291425469,63,38,35,0,1,1
0.8,0.4422110552741597,44,57,54,0,1,1
0.85,0.1608040200996944,16,85,82,0,1,1
0.9,0.0301507537686927,3,98,95,0,1,1
0.5,0.9067524115726472,141,17,12,0,1,1
0.55,0.9003215434054652,140,18,13,0,1,1
0.6,0.8681672025695557,135,23,18,0,1,1
