IOU_big_pretrained,IOU_big_retrained
0.0,0.7920664548873901
0.0,0.8807162046432495
0.0749031454324722,0.7660960555076599
0.0136809023097157,0.6475622057914734
0.0,0.6502924561500549
0.0,0.6179306507110596
0.0,0.7561668753623962
0.0,0.8385650515556335
0.0101180439814925,0.7756689786911011
0.0,0.9068464636802672
0.0016501650679856,0.8061285018920898
0.1183506920933723,0.7501310110092163
0.0,0.8729603886604309
0.0299303941428661,0.7429995536804199
0.1954102963209152,0.7968627214431763
0.0079147638753056,0.7707158327102661
0.0,0.7801008224487305
0.0034707158338278,0.7359010577201843
0.0,0.8597918748855591
0.0,0.7853254079818726
0.0514018684625625,0.6177133917808533
